ano;mes;rondonia;acre;Amazonas;Roraima;para;tocantins;maranhao;piaui;ceara;rn;paraiba;pernambuco;alagoas;sergipe;bahia;mg;es;rj;sp;parana;sc;rg;mt;ms;goias;df
1997 ;Jan;20855 ;562 ;0 ;0 ;2390 ;923 ;1932 ;1187 ;8457 ;3492 ;451 ;6687 ;4761 ;923 ;25868 ;253175 ;22218 ;38513 ;163793 ;72831 ;23853 ;128510 ;18250 ;14102 ;136312 ;7962 
1997 ;fev;17506 ;526 ;0 ;0 ;2115 ;830 ;1332 ;1004 ;7755 ;3063 ;409 ;7412 ;5034 ;824 ;23125 ;220027 ;18885 ;34141 ;143040 ;60981 ;21117 ;106895 ;15931 ;11708 ;115331 ;6058 
1997 ;mar;16040 ;488 ;0 ;0 ;2051 ;823 ;1160 ;1159 ;8953 ;3528 ;485 ;6822 ;4999 ;820 ;24865 ;224150 ;19678 ;36904 ;155553 ;65632 ;22792 ;114050 ;16017 ;11666 ;117500 ;7014 
1997 ;abr;16285 ;516 ;0 ;0 ;2305 ;961 ;1596 ;1135 ;6955 ;4343 ;477 ;3405 ;5909 ;1452 ;23517 ;214286 ;18724 ;37005 ;152691 ;57724 ;20165 ;83375 ;14217 ;10761 ;116442 ;6657 
1997 ;maio;18154 ;653 ;0 ;0 ;3118 ;1078 ;1361 ;1120 ;6943 ;4585 ;496 ;3394 ;6355 ;1394 ;22441 ;219508 ;16488 ;37355 ;160189 ;58474 ;19611 ;81677 ;13285 ;11623 ;113359 ;6690 
1997 ;jun;20383 ;721 ;0 ;0 ;3265 ;1066 ;1194 ;1031 ;6892 ;4197 ;432 ;3353 ;4929 ;1122 ;20647 ;217047 ;13518 ;34395 ;149388 ;60952 ;19246 ;85517 ;12213 ;11625 ;108855 ;7119 
1997 ;jul;23119 ;799 ;0 ;0 ;3970 ;924 ;1125 ;979 ;7879 ;4515 ;477 ;6002 ;4227 ;1431 ;19096 ;237366 ;13353 ;37024 ;163908 ;72344 ;23469 ;107416 ;13495 ;13336 ;116833 ;6863 
1997 ;agos;20871 ;810 ;0 ;0 ;3772 ;1329 ;641 ;959 ;7625 ;4409 ;423 ;4376 ;3458 ;1422 ;18386 ;237067 ;13187 ;37811 ;155953 ;73997 ;25610 ;119027 ;12808 ;12201 ;112928 ;5121 
1997 ;set;24037 ;876 ;0 ;0 ;3806 ;1352 ;725 ;931 ;7627 ;4187 ;445 ;4958 ;4241 ;1217 ;16140 ;219592 ;13284 ;41398 ;152689 ;74805 ;28034 ;124981 ;11853 ;12797 ;102545 ;4974 
1997 ;out;28872 ;812 ;0 ;0 ;5558 ;1070 ;1027 ;952 ;6891 ;4437 ;456 ;3223 ;4229 ;762 ;18697 ;274973 ;14202 ;43808 ;182321 ;84555 ;30607 ;115723 ;14676 ;15268 ;123401 ;6265 
1997 ;nov;27865 ;906 ;0 ;0 ;6067 ;1208 ;1354 ;1041 ;5955 ;4481 ;516 ;3466 ;4432 ;512 ;20641 ;293150 ;15974 ;44193 ;179066 ;75765 ;28259 ;109541 ;16815 ;14985 ;136650 ;4658 
1997 ;dez;27932 ;768 ;0 ;0 ;6323 ;1192 ;1633 ;1026 ;6703 ;4758 ;537 ;3735 ;5586 ;769 ;24043 ;306802 ;18117 ;47754 ;183958 ;77111 ;29496 ;114973 ;17483 ;15407 ;146147 ;4723 
1998 ;Jan;26608 ;757 ;0 ;0 ;7353 ;1449 ;1706 ;1101 ;7227 ;4823 ;649 ;6496 ;6232 ;657 ;25153 ;296015 ;17606 ;45805 ;174331 ;75722 ;29281 ;115158 ;17320 ;16379 ;148135 ;4209 
1998 ;fev;21327 ;754 ;0 ;0 ;6390 ;1331 ;1352 ;1084 ;6448 ;4642 ;561 ;6218 ;5537 ;569 ;22314 ;248174 ;14576 ;39262 ;156123 ;67043 ;25289 ;95641 ;15849 ;14560 ;121677 ;4266 
